Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z;EKF Pose Position (t_x);t_y;t_z;EKF Pose Quat (q_w);q_x;q_y;q_z;
-1.71712;6.59461;1.93003;-0.0841678;-0.542584;0.834936;0.0374146;2.42922;-7.87173;0.444115;-0.903679;0.0501998;0.034033;0.423895;
-1.74501;6.5058;1.94221;-0.0834952;-0.556198;0.826223;0.0320585;2.53821;-7.82578;0.472374;-0.918832;0.0509985;0.0477063;0.388421;
-1.83543;6.18385;1.8644;0.578053;-0.110801;-0.00253255;-0.808438;2.53821;-7.82578;0.472374;-0.918832;0.0509985;0.0477063;0.388421;
-1.87475;6.03558;1.86959;0.594772;-0.121372;-0.0204276;-0.794416;2.56178;-7.27551;0.471401;-0.944039;0.0537712;0.0695115;0.31791;
-1.88741;5.97408;1.88042;0.603124;-0.130393;-0.0269619;-0.786456;2.56178;-7.27551;0.471401;-0.944039;0.0537712;0.0695115;0.31791;
-1.91126;5.82549;1.89975;0.629616;-0.122492;-0.036134;-0.766338;2.32364;-6.35807;0.490908;-0.955774;0.0566538;0.0914602;0.273717;
-1.91925;5.76257;1.89891;0.627321;-0.140882;-0.025464;-0.765488;2.32364;-6.35807;0.490908;-0.955774;0.0566538;0.0914602;0.273717;
-1.9337;5.60272;1.87668;0.643118;-0.132948;-0.0223106;-0.753808;1.99452;-5.27305;0.458076;-0.964694;0.0517816;0.0887883;0.242489;
-1.93694;5.53315;1.86797;0.644319;-0.130011;-0.0229446;-0.753275;1.99452;-5.27305;0.458076;-0.964694;0.0517816;0.0887883;0.242489;
-1.94;5.37238;1.87164;0.642245;-0.136505;-0.0337057;-0.753493;1.61144;-4.14858;0.469612;-0.966151;0.0515965;0.0968516;0.233475;
-1.94457;5.29198;1.88285;0.636214;-0.145562;-0.0339461;-0.756896;1.61144;-4.14858;0.469612;-0.966151;0.0515965;0.0968516;0.233475;
-1.95695;4.94267;1.87939;0.654631;-0.11016;-0.0367874;-0.746974;0.540665;-1.60498;0.437272;-0.971045;0.0566398;0.0906761;0.213639;
